Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
lesions:D1_1W_Mv2,12,18902,1575.167,6.809,255,171.485,61.395,25.253,70.996
leaf:D1_1W_Mv3,1,160578,160578,13.901,255,2413.568,1004.958,203.445,0.236
lesions:D1_1W_Mv3,5,3333,666.6,1.467,255,115.849,43.251,14.481,85.941
leaf:D1_2F_BgMv,10,3931673,393167.3,23.659,255,3842.739,1604.067,308.864,141.122
lesions:D1_2F_BgMv,69,31792,460.754,0.223,255,76.672,28.959,14.406,102.288
leaf:D1_2F_Mv1,1,340896,340896,20.384,255,3740.417,1525.697,284.488,175.319
lesions:D1_2F_Mv1,5,779,155.8,0.134,255,41.973,16.554,8.512,133.027
leaf:D1_2F_Mv2,1,285793,285793,22.576,255,3568.161,1507.034,241.456,177.489
lesions:D1_2F_Mv2,5,1938,387.6,0.453,255,82.127,34.762,9.63,79.297
leaf:D1_2F_Mv3,1,97095,97095,13.759,255,1930.632,802.894,153.974,178.065
lesions:D1_2F_Mv3,2,351,175.5,0.244,255,47.042,17.508,11.369,178.73
leaf:D1_2W_BgMv,10,4078860,407886,24.946,254.999,4274.63,1627.547,316.139,123.447
lesions:D1_2W_BgMv,286,169425,592.395,1.204,255,89.401,33.536,15.295,98.332
leaf:D1_2W_Mv1,1,304410,304410,26.624,255,3524.494,1440.501,269.064,3.24
lesions:D1_2W_Mv1,19,11380,598.947,2.411,255,90.972,36.481,14.693,76.783
leaf:D1_2W_Mv2,1,498782,498782,29.118,255,4689.454,1934.015,328.368,175.478
lesions:D1_2W_Mv2,56,19745,352.589,2.349,255,67.333,24.837,12.181,121.376
leaf:D1_2W_Mv3,1,413533,413533,25.815,255,3866.719,1608.347,327.371,175.639
lesions:D1_2W_Mv3,24,14295,595.625,2.275,255,90.102,32.74,16.492,80.034
leaf:D1_3F_BgMv,10,3934295,393429.5,25.825,255,3997.336,1656.59,303.567,123.929
lesions:D1_3F_BgMv,41,22634,552.049,0.178,255,82.563,31.664,13.586,104.766
leaf:D1_3F_Mv1,1,172089,172089,17.951,255,2765.256,1073.373,204.133,6.23
lesions:D1_3F_Mv1,2,932,466,0.311,255,81.134,32.963,14.308,101.035
leaf:D1_3F_Mv2,1,460169,460169,28.012,255,4289.981,1781.071,328.962,174.938
lesions:D1_3F_Mv2,6,1322,220.333,0.164,255,43.53,17.502,8.571,99.056
leaf:D1_3F_Mv3,1,286611,286611,29.471,255,3286.227,1353.367,269.642,175.262
lesions:D1_3F_Mv3,2,811,405.5,0.182,255,78.012,29.367,17.301,92.647
leaf:D1_3W_Mv1,1,217826,217826,21.781,255,2810.487,1153.997,240.334,173.214
lesions:D1_3W_Mv1,35,8088,231.086,2.205,255,51.237,18.233,11.164,82.388
leaf:D1_3W_Mv2,1,172212,172212,19.302,255,2499.433,1011.516,216.771,4.367
lesions:D1_3W_Mv2,24,13633,568.042,4.69,255,91.009,32.905,15.617,44.049
leaf:D1_3W_Mv3,1,108697,108697,15.232,255,1787.224,724.816,190.941,172.315
lesions:D1_3W_Mv3,13,7834,602.615,4.468,255,93.528,36.187,18.127,103.906
leaf:D1_3W_MvBg,10,2991563,299156.3,21.83,255,3393.538,1424.461,264.566,90.805
lesions:D1_3W_MvBg,277,267313,965.029,2.322,255,117.935,41.39,17.89,84.684
leaf:D1_4F_BgMv,10,3071658,307165.8,19.772,255,3414.027,1413.77,269.804,158.581
lesions:D1_4F_BgMv,122,123975,1016.189,1.122,255,117.004,42.329,18.422,131.246
