date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,seeds_collected,field_notes
20190704,D2,10,water,Ev,2,3,2,1,1,0,
20190704,D2,10,water,Ev,3,5,2,0,1,0,
20190704,D2,10,water,Ev,A,5,5,1,1,0,
20190703,D3,1,fungicide,Ev,1,7,1,0,1,0,
20190703,D3,1,fungicide,Ev,2,8,2,0,1,0,
20190703,D3,1,fungicide,Ev,3,5,1,0,1,0,
20190703,D3,1,fungicide,Ev,A,6,3,1,1,0,
20190703,D3,2,fungicide,Ev,1,6,2,0,1,0,
20190703,D3,2,fungicide,Ev,2,7,2,0,1,0,
20190703,D3,2,fungicide,Ev,3,6,1,0,1,0,
20190703,D3,2,fungicide,Ev,A,6,2,0,1,0,
20190703,D3,3,fungicide,Ev,1,7,2,0,1,0,
20190703,D3,3,fungicide,Ev,2,4,0,0,1,0,
20190703,D3,3,fungicide,Ev,3,8,2,0,1,0,
20190703,D3,3,fungicide,Ev,A,8,2,0,1,0,
20190703,D3,4,fungicide,Ev,1,7,1,0,1,0,
20190703,D3,4,fungicide,Ev,2,7,1,0,1,0,
20190703,D3,4,fungicide,Ev,3,8,2,0,1,0,
20190703,D3,4,fungicide,Ev,A,3,2,0,1,0,
20190703,D3,5,fungicide,Ev,1,6,3,0,1,0,
20190703,D3,5,fungicide,Ev,2,6,1,0,1,0,
20190703,D3,5,fungicide,Ev,3,6,2,0,1,0,
20190703,D3,5,fungicide,Ev,A,6,6,0,1,0,only tiller with non-senescent leaves
20190703,D3,6,fungicide,Ev,1,8,2,0,1,0,
20190703,D3,6,fungicide,Ev,2,7,2,0,1,0,
20190703,D3,6,fungicide,Ev,3,7,2,0,1,0,
20190703,D3,6,fungicide,Ev,A,5,3,0,1,0,
20190703,D3,7,fungicide,Ev,1,6,3,0,1,0,
20190703,D3,7,fungicide,Ev,2,5,2,0,1,0,
20190703,D3,7,fungicide,Ev,3,5,4,1,1,0,
20190703,D3,7,fungicide,Ev,A,7,2,0,1,0,
20190703,D3,8,fungicide,Ev,1,8,4,0,1,0,
20190703,D3,8,fungicide,Ev,2,9,3,0,1,0,
