site,plot,treatment,bag,stems,seeds,seed_weight.g,count_date,count_initials,bag_notes
D2,6,fungicide,7,3,33,0.057,1/28/2019,DM,
D2,6,fungicide,8,3,72,0.1123,1/28/2019,DM,
D2,6,fungicide,9,2,85,0.096,1/28/2019,DM,
D2,6,fungicide,10,2,110,0.1446,1/28/2019,DM,
D2,7,fungicide,1,2,73,0.1055,1/18/2019,DN,
D2,7,fungicide,2,1,62,0.0692,1/18/2019,DN,
D2,7,fungicide,3,1,54,0.0749,1/18/2019,DN,
D2,7,fungicide,4,0,22,0.0203,1/18/2019,DN,
D2,7,fungicide,5,2,59,0.0485,1/22/2019,DN,
D2,7,fungicide,6,2,58,0.0644,1/22/2019,DN,
D2,7,fungicide,7,2,61,0.0789,1/22/2019,DN,
D2,7,fungicide,8,3,55,0.0815,1/22/2019,DN,
D2,7,fungicide,9,3,75,0.0901,1/22/2019,DN,
D2,7,fungicide,10,0,44,0.0589,1/22/2019,DN,
D2,8,fungicide,1,NA,NA,NA,NA,NA,
D2,8,fungicide,2,3,159,0.1371,1/31/2019,PR,
D2,8,fungicide,3,3,73,0.0937,1/31/2019,PR,
D2,8,fungicide,4,3,162,0.1913,1/31/2019,PR,
D2,8,fungicide,5,2,92,0.1239,1/31/2019,PR,
D2,8,fungicide,6,1,58,0.0684,1/31/2019,PR,
D2,8,fungicide,7,3,69,0.1058,1/31/2019,PR,
D2,8,fungicide,8,3,142,0.1175,1/31/2019,PR,
D2,8,fungicide,9,2,107,0.146,1/31/2019,PR,
D2,8,fungicide,10,2,88,0.127,1/31/2019,PR,
D2,9,fungicide,1,1,75,0.0999,1/31/2019,PR,
D2,9,fungicide,2,3,81,0.0902,1/31/2019,PR,
D2,9,fungicide,3,3,66,0.0706,1/31/2019,PR,
D2,9,fungicide,4,3,81,0.0585,1/31/2019,PR,
D2,9,fungicide,5,3,94,0.106,1/31/2019,PR,
D2,9,fungicide,6,2,46,0.0503,1/31/2019,PR,
D2,9,fungicide,7,3,54,0.0677,1/31/2019,PR,
D2,9,fungicide,8,3,53,0.0587,1/31/2019,PR,
D2,9,fungicide,9,3,57,0.0646,1/31/2019,PR,
D2,9,fungicide,10,3,72,0.0943,1/31/2019,PR,
D2,10,fungicide,1,3,55,0.0514,1/22/2019,DM,
D2,10,fungicide,2,3,86,0.0932,1/22/2019,DM,
D2,10,fungicide,3,2,78,0.0867,1/22/2019,DM,
D2,10,fungicide,4,2,32,0.0376,1/22/2019,DM,
D2,10,fungicide,5,2,54,0.0581,1/22/2019,DM,
D2,10,fungicide,6,2,68,0.0836,1/23/2019,PR,
D2,10,fungicide,7,3,61,0.0556,1/23/2019,PR,
D2,10,fungicide,8,2,72,0.0796,1/23/2019,PR,
D2,10,fungicide,9,3,54,0.0542,1/23/2019,PR,
