date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,field_notes
20180926,D4,3,water,Mv,1,5,5,
20180926,D4,3,water,Mv,2,2,2,didn't scan leaf because it was all brown
20180926,D4,3,water,Mv,3,3,3,
20180926,D4,3,water,Mv,Bg1,4,4,
20180926,D4,3,water,Mv,Bg10,8,6,
20180926,D4,3,water,Mv,Bg2,4,3,
20180926,D4,3,water,Mv,Bg3,4,4,
20180926,D4,3,water,Mv,Bg4,6,6,
20180926,D4,3,water,Mv,Bg5,5,4,
20180926,D4,3,water,Mv,Bg6,6,5,
20180926,D4,3,water,Mv,Bg7,3,3,
20180926,D4,3,water,Mv,Bg8,4,4,
20180926,D4,3,water,Mv,Bg9,5,5,
20180926,D4,4,water,Mv,1,4,4,
20180926,D4,4,water,Mv,2,3,3,
20180926,D4,4,water,Mv,3,4,4,
20180926,D4,4,water,Mv,Bg1,5,3,
20180926,D4,4,water,Mv,Bg10,2,2,
20180926,D4,4,water,Mv,Bg2,5,4,
20180926,D4,4,water,Mv,Bg3,5,5,
20180926,D4,4,water,Mv,Bg4,2,2,
20180926,D4,4,water,Mv,Bg5,5,5,
20180926,D4,4,water,Mv,Bg6,3,3,
20180926,D4,4,water,Mv,Bg7,2,2,
20180926,D4,4,water,Mv,Bg8,4,4,
20180926,D4,4,water,Mv,Bg9,5,5,
20180926,D4,5,water,Mv,1,3,3,
20180926,D4,5,water,Mv,2,3,3,
20180926,D4,5,water,Mv,3,5,5,
20180926,D4,6,water,Mv,1,7,7,
20180926,D4,6,water,Mv,2,5,5,
20180926,D4,6,water,Mv,3,4,4,
20180926,D4,7,water,Mv,1,2,2,
20180926,D4,7,water,Mv,2,2,2,
20180926,D4,7,water,Mv,3,3,3,
20180926,D4,8,water,Mv,1,4,3,
20180926,D4,8,water,Mv,2,4,4,
20180926,D4,8,water,Mv,3,3,3,
20180926,D4,9,water,Mv,1,3,3,
20180926,D4,9,water,Mv,2,4,4,
20180926,D4,9,water,Mv,3,4,4,
20180926,D4,10,water,Mv,1,3,3,
20180926,D4,10,water,Mv,2,4,3,
20180926,D4,10,water,Mv,3,2,1,didn't scan leaf because it was all brown
20180926,D4,1,fungicide,Mv,1,3,2,
20180926,D4,1,fungicide,Mv,2,3,2,
20180926,D4,1,fungicide,Mv,3,2,1,
20180926,D4,2,fungicide,Mv,1,NA,NA,
20180926,D4,2,fungicide,Mv,2,4,2,
20180926,D4,2,fungicide,Mv,3,3,3,
20180926,D4,2,fungicide,Mv,Bg1,5,1,
20180926,D4,2,fungicide,Mv,Bg10,5,4,
20180926,D4,2,fungicide,Mv,Bg2,6,4,
20180926,D4,2,fungicide,Mv,Bg3,6,5,
