site,plot,treatment,sp,age,ID,seeds,background,density_level,density,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil,tillers_jul,seeds_per_m2,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D2,3,fungicide,Ev,adult,A,43.24175243564479,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,44.24175243564479,3.7896689684468314,Ev adult,a,m,D23f
D2,3,fungicide,Ev,seedling,1,5.095829411607973,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,6.095829411607973,1.8076048343326858,Ev seedling,s,m,D23f
D2,3,fungicide,Ev,seedling,3,1.819939075574276,Mv,medium,19,NA,NA,NA,NA,NA,NA,1,2.819939075574276,1.0367152803103585,Ev seedling,s,m,D23f
D2,3,water,Ev,adult,A,97.11194907264337,Mv,medium,19,NA,NA,NA,NA,NA,NA,0,98.11194907264337,4.586109164175537,Ev adult,a,m,D23w
D2,4,fungicide,Ev,adult,A,56.854896720940374,Mv,high,67,NA,NA,NA,NA,NA,NA,1,57.854896720940374,4.0579380951904245,Ev adult,a,m,D24f
D2,4,water,Ev,adult,A,73.45274109017777,Mv,high,67,NA,NA,NA,NA,NA,NA,0,74.45274109017777,4.310164576318983,Ev adult,a,m,D24w
D2,5,fungicide,Ev,adult,A,12.229990587859136,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,13.229990587859136,2.5824862667025097,Ev adult,a,s,D25f
D2,5,fungicide,Ev,seedling,1,37,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,1,38,3.6375861597263857,Ev seedling,s,s,D25f
D2,5,water,Ev,adult,A,101.47980285402161,Ev seedling,low,7,NA,NA,NA,NA,NA,NA,0,102.47980285402161,4.629665733835863,Ev adult,a,s,D25w
D2,6,fungicide,Ev,adult,A,9.536480756009206,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,1,10.536480756009206,2.354843593241391,Ev adult,a,s,D26f
D2,6,water,Ev,adult,A,40.475445040771895,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,41.475445040771895,3.725101566357019,Ev adult,a,s,D26w
D2,6,water,Ev,seedling,2,6.988566050205219,Ev seedling,medium,11,NA,NA,NA,NA,NA,NA,0,7.988566050205219,2.0780112756124423,Ev seedling,s,s,D26w
D2,7,fungicide,Ev,adult,A,22.931232352235877,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,23.931232352235877,3.175184398807244,Ev adult,a,s,D27f
D2,7,fungicide,Ev,seedling,1,22.64004210014399,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,23.64004210014399,3.1629419734222672,Ev seedling,s,s,D27f
D2,7,fungicide,Ev,seedling,2,24.02319579758044,Ev seedling,high,19,NA,NA,NA,NA,NA,NA,1,25.02319579758044,3.219803226601461,Ev seedling,s,s,D27f
